Digimon	201	50	120	29	49	024.88	059.70	014.43	024.38
Tencent Manhua	201	117	82	0	2	058.21	040.80	000.00	001.00
Kinema Citrus	200	122	74	3	9	061.00	037.00	001.50	004.50
Passione	200	145	54	5	0	072.50	027.00	002.50	000.00
Ace Attorney	199	19	22	78	119	009.55	011.06	039.20	059.80
AliceSoft	199	17	2	156	39	008.54	001.01	078.39	019.60
Denpasoft	198	24	6	151	18	012.12	003.03	076.26	009.09
Nisio Isin's Works	198	118	84	0	0	059.60	042.42	000.00	000.00
Persona	198	55	58	99	97	027.78	029.29	050.00	048.99
Tales of Series	198	16	24	91	108	008.08	012.12	045.96	054.55
Dragon Ball Anime	196	46	154	0	0	023.47	078.57	000.00	000.00
Seven Arcs	196	163	34	1	0	083.16	017.35	000.51	000.00
Transformers Series	196	27	169	0	0	013.78	086.22	000.00	000.00
Feel. Inc.	194	141	43	16	7	072.68	022.16	008.25	003.61
Kazuma Kamachi's Works	192	149	48	2	0	077.60	025.00	001.04	000.00
Bethesda	190	0	0	89	133	000.00	000.00	046.84	070.00
Boku no Hero Academia Series	190	61	126	2	2	032.11	066.32	001.05	001.05
Cooking Genre	190	79	91	11	12	041.58	047.89	005.79	006.32
FromSoftware	190	0	0	74	131	000.00	000.00	038.95	068.95
Live-Action Horror	189	72	121	4	4	038.10	064.02	002.12	002.12
Okegom	188	48	64	52	33	025.53	034.04	027.66	017.55
Dangan Fangan Bundgan	187	51	53	63	78	027.27	028.34	033.69	041.71
Disney Games	186	1	0	58	141	000.54	000.00	031.18	075.81
Hidari's Art	186	88	42	46	39	047.31	022.58	024.73	020.97
Tokuma Shoten	186	65	122	0	0	034.95	065.59	000.00	000.00
Rooster Teeth	185	71	117	0	0	038.38	063.24	000.00	000.00
DreamWorks Animation	183	66	120	0	1	036.07	065.57	000.00	000.55
Kouhei Horikoshi's Works	183	59	125	0	0	032.24	068.31	000.00	000.00
Yoshihiro Togashi's Works	183	57	128	0	0	031.15	069.95	000.00	000.00
Hobby Japan	182	161	21	0	0	088.46	011.54	000.00	000.00
Trigger	182	100	84	0	0	054.95	046.15	000.00	000.00
NTR	181	112	8	61	7	061.88	004.42	033.70	003.87
Takeshobo	181	110	78	0	0	060.77	043.09	000.00	000.00
Genderbender	180	111	81	10	2	061.67	045.00	005.56	001.11
IRL Sports	180	13	167	0	1	007.22	092.78	000.00	000.56
Tatsunoko Production	180	94	91	40	16	052.22	050.56	022.22	008.89
Andrew Hussie's Works	179	49	86	30	26	027.37	048.04	016.76	014.53
CLAMP	179	97	100	0	4	054.19	055.87	000.00	002.23
Voice Synthesizers	176	119	61	16	2	067.61	034.66	009.09	001.14
Xeno Series	176	0	0	78	102	000.00	000.00	044.32	057.95
Music Videos	175	89	94	0	0	050.86	053.71	000.00	000.00
Shouzou Kaga's Works	175	0	0	63	112	000.00	000.00	036.00	064.00
Comedy Central	173	52	123	0	0	030.06	071.10	000.00	000.00
Pixiv Comics	173	67	71	28	21	038.73	041.04	016.18	012.14
Warcraft Universe	173	0	0	64	116	000.00	000.00	036.99	067.05
Visual Arts	172	82	38	43	11	047.67	022.09	025.00	006.40
Teletoon	171	72	100	3	13	042.11	058.48	001.75	007.60
Overlap	170	135	36	0	0	079.41	021.18	000.00	000.00
Hanna-Barbera	169	54	115	0	0	031.95	068.05	000.00	000.00
Kurahana Chinatsu's Art	169	13	64	30	78	007.69	037.87	017.75	046.15
Seven	169	105	54	12	3	062.13	031.95	007.10	001.78
Young Animal	169	90	85	0	0	053.25	050.30	000.00	000.00
Kurumadapro	168	34	135	0	0	020.24	080.36	000.00	000.00
Re:Zero Universe	168	70	88	7	5	041.67	052.38	004.17	002.98
Sanrio	168	88	74	29	24	052.38	044.05	017.26	014.29
Disney XD	166	55	114	0	0	033.13	068.67	000.00	000.00
Newgrounds	166	31	56	48	75	018.67	033.73	028.92	045.18
HSverse	165	48	74	28	25	029.09	044.85	016.97	015.15
Smilegate	164	0	0	118	46	000.00	000.00	071.95	028.05
Micro Magazine	163	103	63	15	0	063.19	038.65	009.20	000.00
Touhou Project	163	68	2	149	8	041.72	001.23	091.41	004.91
Key	162	82	38	33	11	050.62	023.46	020.37	006.79
Project No.9	162	82	32	39	20	050.62	019.75	024.07	012.35
Gust Co. Ltd.	161	13	6	111	50	008.07	003.73	068.94	031.06
BioWare	159	4	3	69	94	002.52	001.89	043.40	059.12
Studio Gokumi	159	133	25	20	5	083.65	015.72	012.58	003.14
Archanea	158	0	0	62	98	000.00	000.00	039.24	062.03
Sensitive Content	158	60	44	37	27	037.97	027.85	023.42	017.09
Career Soft	157	0	0	56	101	000.00	000.00	035.67	064.33
Manglobe Inc.	157	83	74	0	0	052.87	047.13	000.00	000.00
Mari Okada's Works	157	99	59	9	0	063.06	037.58	005.73	000.00
Actas	156	143	14	0	0	091.67	008.97	000.00	000.00
GYAO!	155	79	77	0	0	050.97	049.68	000.00	000.00
Point-and-click Adventure Games	155	3	6	67	89	001.94	003.87	043.23	057.42
Take-Two Interactive	154	0	0	48	110	000.00	000.00	031.17	071.43
Takahiro's Works	153	73	21	46	16	047.71	013.73	030.07	010.46
Satoshi Urushihara's Art	152	7	1	50	94	004.61	000.66	032.89	061.84
Saint Seiya Series	150	30	121	0	0	020.00	080.67	000.00	000.00
Zexcs	150	81	68	17	5	054.00	045.33	011.33	003.33
07th Expansion	149	53	32	41	27	035.57	021.48	027.52	018.12
Production IMS	146	130	16	34	0	089.04	010.96	023.29	000.00
The Legend of Heroes	146	0	0	79	70	000.00	000.00	054.11	047.95
Comic Gene	145	50	92	6	8	034.48	063.45	004.14	005.52
Studio Orange	143	85	87	13	3	059.44	060.84	009.09	002.10
Mattel	141	68	73	0	2	048.23	051.77	000.00	001.42
Tsunako's Art	141	58	9	91	14	041.13	006.38	064.54	009.93
Comic Yuri-Hime.	139	136	3	0	0	097.84	002.16	000.00	000.00
Shin Megami Tensei	139	7	14	61	91	005.04	010.07	043.88	065.47
MS Pictures	138	106	2	22	11	076.81	001.45	015.94	007.97
Pokémon Generation 3	138	74	81	38	57	053.62	058.70	027.54	041.30
BUNBUN's Art	137	80	36	20	3	058.39	026.28	014.60	002.19
Kinoko Nasu's Works	137	58	43	53	37	042.34	031.39	038.69	027.01
InuYasha Series	136	58	78	1	0	042.65	057.35	000.74	000.00
Shounen Gahousha	136	70	67	0	0	051.47	049.26	000.00	000.00
Madoka Magica Series	135	55	6	93	1	040.74	004.44	068.89	000.74
Williams Street	135	26	110	0	0	019.26	081.48	000.00	000.00
Yumeta Company	135	48	30	44	34	035.56	022.22	032.59	025.19
CyberConnect2	134	14	20	49	73	010.45	014.93	036.57	054.48
ProjectMoon	134	10	8	74	70	007.46	005.97	055.22	052.24
HAL Laboratory	133	4	4	56	108	003.01	003.01	042.11	081.20
King of Fighters Universe	133	0	0	44	92	000.00	000.00	033.08	069.17
PreCure	133	102	32	0	0	076.69	024.06	000.00	000.00
WOLF RPG Editor Games	132	0	0	68	64	000.00	000.00	051.52	048.48
Daum	131	46	85	0	0	035.11	064.89	000.00	000.00
Haruhara Works	131	29	104	0	0	022.14	079.39	000.00	000.00
Xenoblade	131	0	0	59	75	000.00	000.00	045.04	057.25
Comic ZERO-SUM	130	34	99	0	0	026.15	076.15	000.00	000.00
RPG Maker 2000 Games	130	0	3	79	54	000.00	002.31	060.77	041.54
Touhou Project (Windows Canon)	130	68	2	117	3	052.31	001.54	090.00	002.31
Bomtoon	129	24	105	0	0	018.60	081.40	000.00	000.00
KLab	129	31	24	84	33	024.03	018.60	065.12	025.58
Battle Royale Games	128	0	0	72	64	000.00	000.00	056.25	050.00
Champion RED	128	89	38	1	1	069.53	029.69	000.78	000.78
Pixar Animation Studios	128	38	93	0	0	029.69	072.66	000.00	000.00
Studio Comet	128	45	44	14	25	035.16	034.38	010.94	019.53
Akira Amano's Art	127	38	93	0	0	029.92	073.23	000.00	000.00
KOG Games	127	8	6	71	59	006.30	004.72	055.91	046.46
Microsoft	127	3	2	42	86	002.36	001.57	033.07	067.72
Pokémon Generation 4	127	63	65	53	52	049.61	051.18	041.73	040.94
Manga UP!	126	98	28	0	0	077.78	022.22	000.00	000.00
Tencent Penguin Pictures	126	42	86	0	0	033.33	068.25	000.00	000.00
Stopmotion	125	28	100	0	0	022.40	080.00	000.00	000.00
Comic Strips	124	45	79	0	0	036.29	063.71	000.00	000.00
Danganronpa	124	43	47	40	52	034.68	037.90	032.26	041.94
Gen Urobuchi's Works	124	55	63	6	10	044.35	050.81	004.84	008.06
Love Live!	124	62	8	106	4	050.00	006.45	085.48	003.23
